x y z
5.868594654351633 2.8021554728690483 7.051411079418356
2.2737472147390347 5.06821783213417 8.518837066377426
1.9123300088768178 5.887314512074059 7.810009453919483
6.624055216552633 6.907042339307002 2.61224902679361
4.843122741875809 2.73672116892262 7.386211310501421
3.720733491658127 4.194124085395375 7.796870424604318
7.369548238353373 5.879670730054012 5.1870567801716225
2.2713616986391236 7.964728694537688 4.713765012938816
5.962399671118789 2.651509076487365 7.65618079793989
2.2769287275613794 3.2937484777092703 9.766669004345156
9.623364403043267 3.612010415889027 2.356382440020098
4.982160390469716 5.758721973228711 5.2233378529363526
7.551757417944567 6.001905963025313 5.131979792639742
7.010479663356206 6.044420301678181 2.2022578644318203
1.5399800959594738 8.704086706769724 6.389935579666757
4.510084946776113 4.331150662074078 6.89675431506823
3.6007348970498225 2.825560340788809 8.3863562088529
4.995160465120983 6.29724329350709 5.743804045650767
3.681295545523424 2.4763182260114043 8.033276347238093
5.045055079625553 2.179155253872496 9.399407707999067
5.253718856387912 2.6810188494110756 8.374306941571035
3.8063750868350645 9.184271506144594 4.425248771266415
5.6854631862344815 8.247229770603816 3.1957027903145616
7.859012419599224 3.9756351760139386 5.059206311760088
1.561927843993925 2.9788411048283576 8.438227357615652
6.896078522599283 4.500258058499393 4.6214042575474465
1.937120534992143 7.107454246113104 6.799787997213093
8.747781872545291 5.048019048081504 2.0879224691157376
0.9114638404766531 3.4405178431133017 8.940591390535547
1.7066881299495342 6.405360425272875 7.180914845297061
2.406983997249927 3.4049713240482027 9.124605013001478
2.4518876806877574 3.055255726821099 9.014581023103167
1.413362323569883 5.829772830511626 8.662041022797947
7.192144803503404 7.100256536465108 3.953681826193559
1.6144649232847486 5.252414602850899 7.188397989215679
4.982617469502738 8.16271396219723 5.431078340243136
3.668346484954828 1.9110007002778178 8.235856241244175
3.0321774950161062 8.702986424331508 3.7376249329707854
4.474803631546774 7.12105221270107 4.286053923911242
3.0861875185540737 7.3741917823780065 5.351926236350501
8.295124286810115 4.049244295226372 4.791608973608132
2.9741580363688396 7.451932672047086 5.3078014974327274
8.035435727404284 5.871478744077511 2.6440619109528263
6.395437570390411 6.425983979695513 5.512988918480912
5.974334584804231 6.710045792501121 6.222165490046551
7.0635473822517145 3.381666938106159 4.626808625773808
5.164593577799882 6.314708929184071 5.808915113119062
7.637755123519982 4.032129470422609 3.587150454335953
3.527310665472449 3.071535732787264 9.805483038575218
2.3498119398685864 8.192270678092758 5.2164371533639615
6.725805245074369 3.940666647459071 4.837502969026172
4.189458637737314 9.16815835580692 3.8749399888189004
